SampName	Geo	Description	groupe	Pres	PicoEuk	Synec	Prochloro	NanoEuk	Crypto	SiOH4	NO2	NO3	NH4	PO4	NT	PT	Chla	T	S	Sigma_t
S1B	North	North1B	NBF	52	660	32195	10675	955	115	1.813	0.256	0.889	0.324	0.132	9.946	3.565	0	22.7338	37.6204	26.0046
S2B	North	North2B	NBF	59	890	25480	16595	670	395	2.592	0.105	1.125	0.328	0.067	9.378	3.391	0	22.6824	37.6627	26.0521
S2S	North	North2S	NBS	0	890	25480	16595	670	395	3.381	0.231	0.706	0.45	0.109	8.817	3.345	0	22.6854	37.6176	26.0137
S3B	North	North3B	NBF	74	835	13340	25115	1115	165	1.438	0.057	1.159	0.369	0.174	8.989	2.568	0	21.5296	37.5549	26.2987
S3S	North	North3S	NBS	0	715	26725	16860	890	200	1.656	0.098	0.794	0.367	0.095	7.847	2.52	0	22.561	37.596	26.0332
S4B	North	North4B	NBF	78	2220	3130	29835	2120	235	2.457	0.099	1.087	0.349	0.137	8.689	3.129	0	18.8515	37.4542	26.9415
S4S	North	North4S	NBS	78	2220	3130	29835	2120	235	2.457	0.099	1.087	0.349	0.137	8.689	3.129	0	18.8515	37.4542	26.9415
S5B	North	North5B	NBF	42	1620	55780	23795	2555	1355	2.028	0.103	1.135	0.216	0.128	8.623	3.137	0.0102	24.1905	38.3192	26.1037
S5S	North	North5S	NBS	0	1620	56555	22835	2560	945	2.669	0.136	0.785	0.267	0.114	9.146	3.062	0	24.1789	38.3213	26.1065
S6B	South	South1B	SGF	13	2520	39050	705	3630	1295	2.206	0.249	0.768	0.629	0.236	9.013	3.455	0	22.0197	39.0877	27.3241
S6S	South	South1S	SGS	0	2435	35890	915	3735	1300	3.004	0.251	0.927	0.653	0.266	8.776	3.23	0.0134	22.0515	39.0884	27.3151
S7B	South	South2B	SGF	26	0	0	0	4005	1600	3.016	0.157	0.895	0.491	0.176	8.968	4.116	0	23.6669	38.9699	26.7536
S7S	South	South2S	SGS	0	4535	26545	1340	6585	1355	1.198	0.165	1.099	0.432	0.18	8.256	3.182	0	23.6814	38.9708	26.7488
S8B	South	South3B	SGF	33	0	0	0	5910	1590	3.868	0.253	0.567	0.533	0.169	8.395	3.126	0	23.1236	39.0054	26.9423
S8S	South	South3S	SGS	0	4260	36745	985	5470	2265	3.639	0.255	0.658	0.665	0.247	8.991	3.843	0.0132	23.3147	38.9885	26.8713
S9B	South	South4B	SGF	25	4000	31730	485	4395	1180	3.91	0.107	0.672	0.49	0.134	8.954	4.042	0.0172	22.6306	38.9094	27.0131
S9S	South	South4S	SGS	0	5465	32860	820	5045	1545	3.607	0.139	0.644	0.373	0.167	9.817	3.689	0.0062	22.9545	38.7777	26.8172
S11B	South	South5B	SGF	35	5370	46830	580	6010	1690	3.324	0.083	0.756	0.467	0.115	9.539	4.138	0.0182	23.0308	38.9967	26.9631
