Temps;Fatigue;Traitement
0;7,838;O
0;5,588;O
0;7,838;O
0;1,838;O
0;2,088;O
0;2,088;O
0;0;O
0;7,838;O
0;8,588;O
0;7,088;O
0;10,00;N
0;9,49;N
0;6,99;N
0;4,49;N
0;3,99;N
0;1,99;N
0;0,49;N
0;4,74;N
0;3,49;N
0;3,99;N
1;1,3056;O
1;4,5056;O
1;4,5056;O
1;5,5056;O
1;6,1056;O
1;6,7056;O
1;0,3056;O
1;1,3056;O
1;3,9056;O
1;6,3056;O
1;1,45704;N
1;6,13704;N
1;6,13704;N
1;2,82204;N
1;3,60204;N
1;3,79704;N
1;3,79704;N
1;0,87204;N
1;4,77204;N
1;6,13704;N
2;3,0228;O
2;3,7728;O
2;1,5228;O
2;2,5728;O
2;3,9228;O
2;5,7228;O
2;0,4728;O
2;3,9228;O
2;3,9228;O
2;1,0728;O
2;2,8616;N
2;0,9016;N
2;5,3816;N
2;4,9616;N
2;2,7216;N
2;5,5216;N
2;1,6016;N
2;0,3416;N
2;1,3216;N
2;2,3016;N
3;1,48;O
3;2,08;O
3;3,38;O
3;2,58;O
3;1,68;O
3;1,68;O
3;1,78;O
3;1,88;O
3;0,78;O
3;2,48;O
3;0,28628;N
3;1,90128;N
3;1,39128;N
3;3,26128;N
3;0,11628;N
3;1,81628;N
3;3,00628;N
3;2,66628;N
3;0,37128;N
3;2,24128;N
4;2,1016;O
4;1,3016;O
4;0,7016;O
4;0,8516;O
4;0,5016;O
4;1,8016;O
4;0,9016;O
4;0,7516;O
4;0,6516;O
4;0,3516;O
4;0,68016;N
4;0,14016;N
4;0,68016;N
4;0,02016;N
4;0,86016;N
4;0,20016;N
4;0,80016;N
4;0,95016;N
4;1,19016;N
4;0,47016;N
5;1,58;O
5;4,83;O
5;3,58;O
5;1,58;O
5;0;O
5;2,33;O
5;0;O
5;0;O
5;0;O
5;1,83;O
5;0,13;N
5;0;N
5;0;N
5;0;N
5;0,13;N
5;0;N
5;0;N
5;0;N
5;0,63;N
5;0;N
5;0;N
